CHEMBL_ID,SMILES,IC50_nM,Relation,Assay_ID,Reference_ID,pChEMBL
CHEMBL100510,CN(CCOCCNC(=S)NC(=O)c1ccc2ccccc2c1)Cc1ccccc1,100.0,=,CHEMBL1119333,CHEMBL1155460,7.0
CHEMBL101518,CN(CCOCCNC(=S)NC(=O)c1ccc(Cl)cc1)Cc1ccccc1,30.0,=,CHEMBL1119333,CHEMBL1155460,7.52
CHEMBL101940,CN(CCOCCNC(=S)NC(=O)c1ccc(Cl)c(Cl)c1)Cc1ccccc1,55.0,=,CHEMBL1119333,CHEMBL1155460,7.26
CHEMBL102142,Cc1ccc(C(=O)NC(=S)NCCOCCN(C)Cc2ccccc2)cc1,77.0,=,CHEMBL1119333,CHEMBL1155460,7.11
CHEMBL104387,c1ccc2c(c1)ccc[n+]2CCCCCCCCCCCC[n+]1cccc2ccccc21,20.0,=,CHEMBL1763498,CHEMBL1759923,7.7
CHEMBL104553,c1ccc2c[n+](CCCCCCCCC[n+]3ccc4ccccc4c3)ccc2c1,40.0,=,CHEMBL1671581,CHEMBL1667816,7.4
CHEMBL104613,c1ccc2c[n+](CCCCCCCCCCC[n+]3ccc4ccccc4c3)ccc2c1,100.0,=,CHEMBL1671581,CHEMBL1667816,7.0
CHEMBL105017,c1ccc2c(c1)ccc[n+]2CCCCCCCCC[n+]1cccc2ccccc21,80.0,=,CHEMBL1763498,CHEMBL1759923,7.1
CHEMBL105257,c1ccc2c(c1)ccc[n+]2CCCCCCCCCCC[n+]1cccc2ccccc21,10.0,=,CHEMBL1763498,CHEMBL1759923,8.0
CHEMBL105874,O=C1c2ccc([N+](=O)[O-])cc2C(=O)N1CCC1CCN(Cc2ccccc2)CC1,12.5,=,CHEMBL1119333,CHEMBL1155460,7.9
CHEMBL106891,O=C1c2ccccc2C(=O)N1CCC1CCN(Cc2ccccc2)CC1,80.0,=,CHEMBL1119333,CHEMBL1155460,7.1
CHEMBL1076243,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)Cc1cc2ccc(Cl)cc2s1,100.0,=,CHEMBL1105045,CHEMBL1154393,7.0
CHEMBL107892,CN(C)Cc1ccc(CSCCNc2cc(N)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,83.0,=,CHEMBL644833,CHEMBL1125532,7.08
CHEMBL1080386,CC(C)c1ccc(NC(=O)Oc2ccc3c(c2)[C@]2(C)CCN(CCc4ccccc4)[C@@H]2N3C)cc1,6.0,=,CHEMBL1787069,CHEMBL1781988,8.22
CHEMBL1081031,CN1c2ccc(OC(=O)NC3CCCCC3)cc2[C@]2(C)CCN(CCc3ccccc3)[C@H]12,22.0,=,CHEMBL5043646,CHEMBL5042497,7.66
CHEMBL1081032,CN1c2ccc(OC(=O)NCC3CCCCC3)cc2[C@]2(C)CCN(CCc3ccccc3)[C@H]12,1.8,=,CHEMBL5043646,CHEMBL5042497,8.74
CHEMBL1082434,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)OCO2,30.0,=,CHEMBL1119333,CHEMBL1155460,7.52
CHEMBL1082435,CCn1c(C)nc2cc(C(=O)CCC3CCN(Cc4ccccc4)CC3)ccc21,4.266,=,CHEMBL1664219,CHEMBL1649350,8.37
CHEMBL1082436,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2[nH]c(-c3ccccc3)nc2c1,33.0,=,CHEMBL1119333,CHEMBL1155460,7.48
CHEMBL1082738,c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,8.8,=,CHEMBL1119333,CHEMBL1155460,8.06
CHEMBL1082739,c1ccc2c(NCCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,38.0,=,CHEMBL1119333,CHEMBL1155460,7.42
CHEMBL1083065,COc1ccc2c(c1OC)C(=O)CC2CCC1CCN(Cc2ccccc2)CC1,8.0,=,CHEMBL1119333,CHEMBL1155460,8.1
CHEMBL1083067,CCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1C2,10.0,=,CHEMBL1119333,CHEMBL1155460,8.0
CHEMBL1083069,O=C1CNc2cc3onc(CCC4CCN(Cc5ccccc5)CC4)c3cc2C1,0.48,=,CHEMBL1119333,CHEMBL1155460,9.32
CHEMBL1083070,CCCCCCNC(=O)Oc1cccc(CN(C)CCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,100.0,=,CHEMBL1119333,CHEMBL1155460,7.0
CHEMBL1083374,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(c2)O/C(=C\c2cc(O)c(O)c(O)c2)C3=O)c1,2.99,=,CHEMBL1119333,CHEMBL1155460,8.52
CHEMBL1083375,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(CC)[C@@H]1C2,58.0,=,CHEMBL1119333,CHEMBL1155460,7.24
CHEMBL1083379,CCCCCCNC(=O)Oc1cccc(CN(C)CCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,100.0,=,CHEMBL1119333,CHEMBL1155460,7.0
CHEMBL1083488,c1ccc2c(NCCCCCCNc3c4c(nc5ncccc35)CCCCC4)c3c(nc2c1)CCCCC3,2.5,=,CHEMBL1119333,CHEMBL1155460,8.6
CHEMBL1083660,CN1CCCc2cc(C(=O)CCC3CCN(Cc4ccccc4)CC3)ccc21,24.0,=,CHEMBL1119333,CHEMBL1155460,7.62
CHEMBL1083661,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)CCCN2,54.0,=,CHEMBL1119333,CHEMBL1155460,7.27
CHEMBL1083662,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)CCCN2c1ccccc1,54.0,=,CHEMBL1119333,CHEMBL1155460,7.27
CHEMBL1083791,CN(C)CCCCCCCNc1c2c(nc3ccccc13)CCCC2,52.0,=,CHEMBL1119333,CHEMBL1155460,7.28
CHEMBL1083982,COc1cc2c(cc1OC)C(=O)C(CC1CCN(c3ccccc3)CC1)C2,5.7,=,CHEMBL1119333,CHEMBL1155460,8.24
CHEMBL1083983,O=C(CCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3ccccc13)CCCC2,0.02,=,CHEMBL1119333,CHEMBL1155460,10.7
CHEMBL1083984,O=C(CCc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,0.06,=,CHEMBL1119333,CHEMBL1155460,10.22
CHEMBL1084090,CCCCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4cccnc4oc3c2)c1,42.0,=,CHEMBL1119333,CHEMBL1155460,7.38
CHEMBL1084094,CN(C)CCCCCCCCNc1c2c(nc3ccccc13)CCCC2,47.0,=,CHEMBL1119333,CHEMBL1155460,7.33
CHEMBL1084095,CN(C)CCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,71.0,=,CHEMBL1119333,CHEMBL1155460,7.15
CHEMBL1084096,c1ccc2c(NCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,13.6,=,CHEMBL1119333,CHEMBL1155460,7.87
CHEMBL1084256,O=C(Nc1ccccc1)c1ccc2c(c1)C(=O)N(CCC1CCN(Cc3ccccc3)CC1)C2=O,2.2,=,CHEMBL1119333,CHEMBL1155460,8.66
CHEMBL1084262,O=C(CCc1c[nH]c2ccccc12)NCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,4.4,=,CHEMBL1119333,CHEMBL1155460,8.36
CHEMBL1084263,O=C(CCc1c[nH]c2ccccc12)NCCCCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,21.9,=,CHEMBL1119333,CHEMBL1155460,7.66
CHEMBL1084275,Cc1nc2ccc(C(=O)CCC3CCN(Cc4ccccc4)CC3)cc2s1,6.761,=,CHEMBL1664219,CHEMBL1649350,8.17
CHEMBL1084366,CCCCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)cc(-c4ccccc4)oc3c2)c1,68.0,=,CHEMBL1119333,CHEMBL1155460,7.17
CHEMBL1084367,CN(C)CCCCCCCCCCNc1c2c(nc3ccccc13)CCCC2,45.0,=,CHEMBL1119333,CHEMBL1155460,7.35
CHEMBL1084369,c1ccc2c(NCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,12.8,=,CHEMBL1119333,CHEMBL1155460,7.89
CHEMBL1084530,c1ccc2c(NCCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,83.0,=,CHEMBL1119333,CHEMBL1155460,7.08
CHEMBL1084544,O=C(CCOCCc1c[nH]c2ccccc12)NCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,0.7,=,CHEMBL1119333,CHEMBL1155460,9.15
CHEMBL1084545,O=C(CCOCCc1c[nH]c2ccccc12)NCCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,3.0,=,CHEMBL1119333,CHEMBL1155460,8.52
CHEMBL1084635,CCN1CC[C@@]2(C)c3cc(OC(=O)NC)ccc3C[C@@H]12,38.0,=,CHEMBL1119333,CHEMBL1155460,7.42
CHEMBL1084703,c1ccc(CN2CCC(CNc3nsc4ccccc34)CC2)cc1,99.0,=,CHEMBL1119333,CHEMBL1155460,7.0
CHEMBL1084775,c1ccc2c(NCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,10.1,=,CHEMBL1119333,CHEMBL1155460,8.0
CHEMBL1084790,Cc1nc2cc(C(=O)CCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1,12.0,=,CHEMBL1119333,CHEMBL1155460,7.92
CHEMBL1084881,CCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(CCC)[C@@H]1C2,62.0,=,CHEMBL1119333,CHEMBL1155460,7.21
CHEMBL1084883,CCCCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3ccc(=O)oc3c2)c1,13.0,=,CHEMBL1119333,CHEMBL1155460,7.89
CHEMBL1085030,CN(CCOCCNC(=S)NC(=O)c1ccc2c(c1)C(=O)c1ccccc1-2)Cc1ccccc1,30.0,=,CHEMBL1119333,CHEMBL1155460,7.52
CHEMBL1085031,CN(CCOCCNC(=S)NC(=O)c1ccc2c(c1)C(=O)c1ccccc1C2=O)Cc1ccccc1,6.0,=,CHEMBL1119333,CHEMBL1155460,8.22
CHEMBL1085125,CCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(CC)[C@@H]1C2,90.0,=,CHEMBL1119333,CHEMBL1155460,7.05
CHEMBL1085129,CCCCCCNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)ccoc3c2)c1,21.0,=,CHEMBL1119333,CHEMBL1155460,7.68
CHEMBL1085278,CNC(=O)Oc1cccc(CN(C)CCCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,6.8,=,CHEMBL1119333,CHEMBL1155460,8.17
CHEMBL1085382,CCN1CC[C@@]2(C)c3cc(OC(=O)NCc4ccccc4)ccc3C[C@@H]12,69.0,=,CHEMBL1119333,CHEMBL1155460,7.16
CHEMBL1085383,CCCCCCCNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(CCC)[C@@H]1C2,93.0,=,CHEMBL1119333,CHEMBL1155460,7.03
CHEMBL1085526,CNC(=O)Oc1cccc(CN(C)CCCCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,11.7,=,CHEMBL3049408,CHEMBL3046901,7.93
CHEMBL1085527,CNC(=O)Oc1cccc(CN(C)CCCCCCCCCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,21.8,=,CHEMBL3049408,CHEMBL3046901,7.66
CHEMBL1085702,Nc1ccc2c(c1)c(-c1ccccc1)[n+](CCCNCCCNCCCNc1c3c(nc4ccccc14)CCCC3)c1cc(N)ccc21,1.49,=,CHEMBL1119333,CHEMBL1155460,8.83
CHEMBL1085858,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)CCN2c1ccccc1,68.0,=,CHEMBL1119333,CHEMBL1155460,7.17
CHEMBL1085932,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)O/C(=C\c2cc(O)c(O)c(O)c2)C3=O)c1,0.52,=,CHEMBL1119333,CHEMBL1155460,9.28
CHEMBL1085933,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)O/C(=C\c2ccc4ccccc4c2)C3=O)c1,2.09,=,CHEMBL1119333,CHEMBL1155460,8.68
CHEMBL1085938,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)C/C(=C\c2cc(O)c(O)c(O)c2)C3=O)c1,1.8,=,CHEMBL1119333,CHEMBL1155460,8.74
CHEMBL1085939,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)OC/C(=C/c2cc(O)c(O)c(O)c2)C3=O)c1,9.81,=,CHEMBL1119333,CHEMBL1155460,8.01
